"Timestamp","Production Budget","Producer","Average Critic Score (Rotten Tomatoes)","IMDB Rating","IMDB Votes","Average Audience Score (Rotten Tomatoes)","Return on Investment","Worldwide Gross","How much do you enjoy researching movies, such as browsing IMDB, Wikipedia pages, and looking up actors?","How much do you enjoy watching movies?","How often do you watch the Oscars or similar movie award shows?","What is your current age?","Are you currently attending University?"
"2016/11/22 11:53:38 AM PST",1,2,8,4,3,5,6,7,3,4,2,21,"Yes, currently attending"
"2016/11/26 6:25:58 PM PST",1,4,7,6,5,3,2,8,2,5,2,21,"Yes, currently attending"
"2016/11/26 6:33:38 PM PST",3,8,7,5,2,6,4,1,2,3,2,,"Yes, currently attending"
"2016/11/26 6:35:54 PM PST",1,8,5,2,4,7,3,6,1,4,2,21,"Yes, currently attending"
"2016/11/26 11:55:21 PM PST",1,7,8,3,2,4,5,6,5,5,3,19,"Yes, currently attending"
"2016/11/27 12:55:44 PM PST",2,6,8,4,7,5,1,3,3,4,1,22,"No, graduated"
"2016/11/27 1:37:00 PM PST",1,2,8,5,3,7,6,4,4,5,3,21,"Yes, currently attending"
"2016/11/27 2:20:02 PM PST",3,8,7,4,1,6,2,5,4,4,2,21,"Yes, currently attending"
"2016/11/27 6:11:13 PM PST",7,1,8,6,5,3,4,2,2,4,1,19,"Yes, currently attending"
"2016/11/27 10:43:53 PM PST",3,5,8,2,1,6,4,7,4,4,2,21,"Yes, currently attending"
"2016/11/27 11:14:20 PM PST",2,8,7,4,6,3,5,1,5,2,1,21,"Yes, currently attending"
"2016/11/27 11:28:43 PM PST",1,5,6,7,2,8,4,3,2,5,1,21,"Yes, currently attending"
"2016/11/28 12:33:18 PM PST",1,7,8,5,2,4,6,3,4,5,1,19,"Yes, currently attending"
"2016/11/28 12:40:31 PM PST",2,7,8,6,1,5,4,3,5,5,2,21,"Yes, currently attending"
"2016/11/28 1:02:33 PM PST",1,2,5,8,7,4,3,6,1,3,1,21,"Yes, currently attending"
"2016/11/28 1:04:37 PM PST",2,7,8,6,1,3,5,4,5,5,3,19,"Yes, currently attending"
"2016/11/28 1:10:15 PM PST",5,7,3,2,1,4,6,8,3,5,2,20,"Yes, currently attending"
"2016/11/28 1:28:39 PM PST",4,8,1,3,5,2,6,7,1,3,2,21,"Yes, currently attending"
"2016/11/28 1:43:32 PM PST",1,3,6,7,4,2,5,8,3,5,2,21,"Yes, currently attending"
"2016/11/28 2:14:56 PM PST",2,6,8,7,3,4,5,1,3,4,2,21,"Yes, currently attending"
"2016/11/28 2:57:34 PM PST",1,6,3,5,4,2,8,7,3,5,2,20,"Yes, currently attending"
"2016/11/28 3:27:44 PM PST",3,8,7,5,1,6,2,4,3,4,2,19,"Yes, currently attending"
"2016/11/28 6:10:09 PM PST",3,1,7,6,5,8,2,4,1,3,1,21,"Yes, currently attending"
"2016/11/28 6:12:45 PM PST",4,7,8,2,1,5,6,3,2,5,3,21,"Yes, currently attending"
"2016/11/28 6:13:55 PM PST",4,8,5,6,1,2,3,7,4,4,2,22,"Yes, currently attending"
"2016/11/28 6:16:26 PM PST",2,7,6,4,1,5,3,8,5,4,2,21,"Yes, currently attending"
"2016/11/28 6:17:28 PM PST",6,7,2,4,3,5,1,8,3,5,2,22,"Yes, currently attending"
"2016/11/28 6:29:40 PM PST",7,1,3,2,4,8,5,6,3,5,2,23,"No, graduated"
"2016/11/28 6:35:07 PM PST",5,7,3,4,2,1,6,8,5,4,2,20,"Yes, currently attending"
"2016/11/28 6:36:47 PM PST",7,8,3,2,4,5,6,1,1,4,1,21,"No, never attended"
"2016/11/28 6:39:26 PM PST",5,8,7,4,2,6,1,3,3,5,1,21,"Yes, currently attending"
"2016/11/28 6:44:05 PM PST",4,7,8,2,1,3,5,6,3,3,2,21,"Yes, currently attending"
"2016/11/28 6:44:06 PM PST",3,8,7,6,1,2,4,5,2,5,2,22,"Yes, currently attending"
"2016/11/28 6:47:31 PM PST",4,5,8,3,1,2,7,6,2,4,1,22,"Yes, currently attending"
"2016/11/28 6:50:00 PM PST",6,8,4,3,1,7,5,2,2,2,2,87,"No, still in High School or below"
"2016/11/28 6:55:40 PM PST",3,7,8,6,5,4,1,2,5,4,2,22,"Yes, currently attending"
"2016/11/28 6:56:30 PM PST",3,1,7,8,6,5,4,2,4,5,3,21,"Yes, currently attending"
"2016/11/28 7:20:14 PM PST",3,2,8,4,1,7,6,5,3,5,3,20,"Yes, currently attending"
"2016/11/28 8:12:02 PM PST",6,3,7,4,1,2,5,8,1,5,2,21,"No, graduated"
"2016/11/28 8:35:02 PM PST",2,1,8,7,4,6,5,3,5,5,2,20,"Yes, currently attending"
"2016/11/28 8:42:10 PM PST",1,7,2,6,4,3,5,8,3,5,2,22,"Yes, currently attending"
"2016/11/28 9:07:33 PM PST",6,7,5,4,3,2,1,8,5,3,2,21,"Yes, currently attending"
"2016/11/28 9:23:19 PM PST",1,8,7,6,3,5,2,4,5,5,1,30,"No, graduated"
"2016/11/28 9:45:53 PM PST",4,8,7,2,6,1,5,3,5,5,5,21,"No, graduated"
"2016/11/28 9:56:04 PM PST",4,6,8,7,1,2,5,3,5,5,4,19,"Yes, currently attending"
"2016/11/28 10:00:51 PM PST",1,7,8,4,3,6,2,5,5,5,4,21,"Yes, currently attending"
"2016/11/28 10:07:02 PM PST",5,6,4,2,1,3,7,8,2,5,3,19,"Yes, currently attending"
"2016/11/28 10:17:15 PM PST",1,7,4,3,6,5,2,8,5,5,1,20,"Yes, currently attending"
"2016/11/28 10:24:08 PM PST",5,6,8,4,3,1,2,7,4,4,2,21,"Yes, currently attending"
"2016/11/28 10:24:09 PM PST",5,6,8,4,3,1,2,7,4,4,2,21,"Yes, currently attending"
"2016/11/28 10:25:48 PM PST",5,7,4,1,2,3,6,8,3,3,2,19,"Yes, currently attending"
"2016/11/28 10:27:45 PM PST",8,3,7,2,1,6,5,4,4,5,3,21,"Yes, currently attending"
"2016/11/28 10:38:02 PM PST",6,8,3,2,5,1,4,7,3,3,2,21,"Yes, currently attending"
"2016/11/28 10:40:56 PM PST",3,7,8,5,2,6,1,4,5,5,3,21,"Yes, currently attending"
"2016/11/28 10:44:49 PM PST",5,6,2,4,3,1,7,8,2,4,2,20,"Yes, currently attending"
"2016/11/28 10:49:16 PM PST",2,3,8,7,6,5,4,1,3,4,2,21,"Yes, currently attending"
"2016/11/28 10:55:32 PM PST",3,8,6,7,1,2,5,4,4,5,4,21,"Yes, currently attending"
"2016/11/28 10:57:37 PM PST",8,7,6,4,5,2,1,3,5,5,2,18,"No, graduated"
"2016/11/28 11:29:20 PM PST",5,6,3,7,4,8,2,1,4,3,2,22,"Yes, currently attending"
"2016/11/28 11:42:19 PM PST",3,2,6,8,7,4,1,5,3,5,3,21,"Yes, currently attending"
"2016/11/28 11:48:24 PM PST",4,2,8,3,1,5,6,7,4,4,2,33,"No, graduated"
"2016/11/29 12:06:50 AM PST",5,7,8,4,2,3,6,1,5,5,3,29,"Yes, currently attending"
"2016/11/29 12:31:29 AM PST",7,5,3,4,1,2,6,8,3,5,2,19,"Yes, currently attending"
"2016/11/29 12:44:44 AM PST",5,8,7,2,3,1,4,6,3,4,2,40,"Yes, currently attending"
"2016/11/29 3:25:49 AM PST",2,6,8,4,3,1,7,5,5,5,4,22,"Yes, currently attending"
"2016/11/29 4:45:54 AM PST",3,4,8,7,5,6,2,1,5,5,4,20,"Yes, currently attending"
"2016/11/29 5:07:10 AM PST",3,7,2,4,5,1,8,6,1,5,1,23,"No, graduated"
"2016/11/29 7:10:14 AM PST",6,5,8,7,2,1,4,3,5,5,3,18,"No, graduated"
"2016/11/29 9:04:53 AM PST",2,3,8,7,1,6,4,5,5,5,5,25,"No, graduated"
"2016/11/29 9:27:16 AM PST",5,8,4,3,1,2,6,7,3,5,2,18,"Yes, currently attending"
"2016/11/29 12:05:23 PM PST",1,4,8,6,2,5,3,7,5,3,2,21,"Yes, currently attending"
"2016/11/29 1:50:41 PM PST",4,6,7,5,2,1,3,8,4,5,3,20,"Yes, currently attending"
"2016/11/29 5:05:16 PM PST",1,6,8,7,3,4,2,5,3,5,1,19,"Yes, currently attending"
"2016/11/29 6:48:11 PM PST",2,7,3,5,4,1,6,8,4,5,2,18,"Yes, currently attending"
"2016/11/30 8:26:47 AM PST",5,3,7,2,4,8,1,6,3,2,2,62,"No, graduated"
"2016/11/30 3:28:56 PM PST",1,6,8,2,4,7,3,5,3,4,2,25,"No, graduated"
"2016/12/01 12:16:58 AM PST",6,5,8,4,2,3,1,7,1,4,1,21,"Yes, currently attending"
"2016/12/01 1:45:55 PM PST",1,5,8,7,4,6,3,2,4,5,1,18,"No, still in High School or below"
